OrderNum,DeliveryAddress,ShippingFee,DeliveryCompany
38,"05605 Weber Summit Apt. 578 East Dannytown, ND 23156",12.5,DHL
39,"64329 Alexandra Curve Port Bobby, MI 47786",8.47,UPS
40,"43770 Rachel Mall Port Kennethberg, SD 13863",12.89,FedEx
41,"3137 Jasmine Roads Apt. 247 Angelashire, NV 18628",36.37,FedEx
42,"PSC 9654, Box 9832 APO AP 90982",29.35,UPS
43,"6722 Medina Pike Suite 883 Julietown, VI 37250",23.57,DHL
44,"6881 Sean Throughway Hendersonport, PW 35815",30.68,DHL
45,"845 Jerry Mews Suite 881 North Robert, WA 39143",40.2,FedEx
46,"PSC 0290, Box 7206 APO AE 47006",34.66,UPS
47,"98082 Benton Well New Emilyport, OH 50550",18.24,DHL
48,"3908 James Shoal Apt. 761 East Samanthaborough, AL 02678",22.98,FedEx
49,"24704 Gabrielle Crossroad Apt. 477 Jamesshire, FM 18633",43.33,FedEx
50,"384 Dwayne Circle South Anthony, OH 94507",47.85,FedEx
51,USS Holland FPO AP 23134,41.81,FedEx
52,"87780 Mary Spur Apt. 933 East Danielle, NV 21668",10.95,DHL
53,"88443 Austin Field Lake Jessicaview, TX 30397",28.98,UPS
54,"74267 Kathleen Springs Haneybury, SC 76441",46.94,DHL
55,"6186 Brown Motorway Suite 242 Lake Joshua, CO 66604",13.62,UPS
56,"721 Horn Port Apt. 381 East Katelynbury, ND 48478",5.79,DHL
57,"40918 Malik Plaza Apt. 300 Port Rebekah, PR 11723",49.45,UPS
58,Unknown Shipping Address,12.78,DHL
59,"PSC 8818, Box 7866 APO AE 61537",15.7,UPS
60,"583 Williams Haven Kevinchester, PA 80231",25.15,UPS
61,"287 Nicholson Stream Wangmouth, DE 59147",25.69,DHL
62,"51298 Kelsey Lodge Suite 290 South Derek, VI 29805",38.2,DHL
63,"3662 Fernandez Summit Suite 991 Payneland, FM 12660",16.68,UPS
64,"7704 Rojas Trafficway Suite 692 East Cameronshire, OH 52290",17.31,DHL
65,"3673 Martinez Prairie Apt. 462 Kathleenmouth, MS 54925",20.68,DHL
66,"412 Nathan Skyway Apt. 887 Lake Kellybury, TX 25784",14.04,UPS
67,Unit 8481 Box 6624 DPO AE 78941,15.88,UPS
68,"9356 Eugene Garden Lake Josephton, NH 99335",42.46,DHL
69,"69275 Payne Motorway Suite 172 Lake Oscarport, AK 36531",47.66,FedEx
70,"0279 Brian Stream New Heatherstad, NM 86020",21.27,DHL
71,"6655 Susan Mission Suite 978 Spearsstad, ND 53662",45.83,FedEx
72,"82968 Best Light South Zacharyton, CT 11372",18.05,FedEx
73,"15019 Bentley Rapids North Alicia, CT 21588",42.82,FedEx
74,Unit 9087 Box 6316 DPO AP 74239,14.67,UPS
75,"681 Garrison Street East Davidmouth, CO 02356",39.33,DHL
76,"876 Gregory Wall Suite 602 East Allison, DE 89164",21.79,FedEx
77,"39491 Cody Roads Suite 861 Port Samantha, IA 66981",12.91,FedEx
78,"85638 Jeffrey Common Lake Jasonberg, MN 01665",9.66,DHL
79,"448 Mata Rapid Owenschester, MO 31154",20.37,DHL
80,"PSC 2103, Box 9690 APO AP 47130",31.59,FedEx
81,"3724 Nelson Skyway Port Michaelborough, PR 34036",19.47,UPS
82,"1825 Jasmine Underpass Apt. 187 Hollyton, GA 52590",29.46,FedEx
83,"2735 Hughes Pine Apt. 227 Michaelberg, PR 65780",23.03,FedEx
84,"36214 Johnson Prairie Port Tylerfurt, MH 68377",28.26,UPS
85,"069 Jones Port Apt. 884 Port Glennside, DC 30251",38.71,UPS
86,USNS Cummings FPO AP 20658,26.82,DHL
87,Unknown Shipping Address,36.94,FedEx
88,"130 John Skyway Suite 253 Lake Carrie, CO 16028",41.87,DHL
89,"410 Michael Road North Joseph, NH 51325",22.75,UPS
90,"217 Green Lane Hernandezborough, MD 16445",26.21,DHL
91,"6037 Guzman Unions Colonside, CA 10727",24.64,FedEx
92,"4170 Gill Alley Taylorview, MA 11571",24.79,FedEx
93,"03973 Cardenas Run Suite 800 South Joseph, WV 89382",23.48,DHL
94,"7235 Edwards Islands Hannahhaven, DE 24050",47.08,FedEx
95,"40907 Gilbert Turnpike Moonchester, NY 74276",6.49,UPS
96,"962 David Inlet Jonathanmouth, NM 21714",45.01,DHL
97,"131 Pugh Union Allenport, OH 96666",25.94,FedEx
98,Unit 3044 Box 0148 DPO AA 95380,39.1,UPS
99,"25404 Susan Oval East Kari, UT 77640",7.88,UPS
100,"64135 John Knolls Apt. 465 New Amanda, DC 44971",29.52,UPS
101,"30475 Watts Pines East Linda, SC 91980",12.78,FedEx
102,"1574 Garcia Isle Websterton, AL 81687",8.79,FedEx
103,"8829 Tracy Point Suite 900 South Amandaport, GA 33829",11.78,UPS
104,"0954 Schmitt Vista Josephchester, OK 14442",38.52,UPS
105,"2393 Mark Views Greenview, PR 17659",24.11,FedEx
106,"145 Liu Village Barrberg, HI 14449",44.45,UPS
107,"4745 Mary Rapid Apt. 598 South Alexis, AK 42828",20.12,UPS
108,"05079 Edwards Throughway Apt. 377 Lake Lukefort, SD 40204",40.49,FedEx
109,"3947 Gutierrez Rapid Apt. 034 Port Heather, AK 90039",18.81,FedEx
110,"4524 Chen Coves Barronville, AL 33946",18.95,UPS
111,"93582 Irwin Gateway Jenniferview, MD 05763",31.88,UPS
112,"92895 Toni Ford East Dana, MN 87886",21.92,DHL
113,"544 May Overpass West Stephenhaven, MD 15126",47.65,UPS
114,"PSC 8728, Box 9915 APO AE 05278",11.34,FedEx
115,"4934 Maria Dam Apt. 662 Brockview, IA 69465",46.81,UPS
116,"04554 Susan Pines North Julie, IN 79450",16.02,FedEx
117,"059 Jermaine Inlet Apt. 092 Mckinneyborough, MI 94216",31.42,DHL
118,"9237 Brown Keys Suite 523 North Belinda, WI 58831",11.27,UPS
119,"4113 Sarah Club Apt. 542 Alexanderborough, OH 63899",14.26,UPS
120,"0425 Alexander Pike Robertshire, NJ 38974",42.34,FedEx
121,USNV Spencer FPO AE 28626,11.61,UPS
122,"7113 Kelly Drive East Katherineburgh, MI 31327",6.52,FedEx
123,"846 Mendoza Curve Suite 842 West Ericborough, AZ 43758",10.92,DHL
124,"400 Debbie Burg West Bradleybury, IN 86458",39.61,DHL
125,"6629 Roberts Alley Suite 280 East Karen, KY 20217",34.12,UPS
126,"011 Palmer Rest Amyhaven, PR 09575",38.8,FedEx
127,"73229 Wiggins Square Williamland, ID 09958",5.93,UPS
128,Unknown Shipping Address,40.95,DHL
129,"8324 Banks Road North Ericville, OH 25087",41.65,FedEx
130,"8985 Margaret Shore Suite 144 Solischester, WA 67371",37.41,DHL
131,"31680 Jessica Mews Suite 852 Jacksonshire, AK 02525",12.37,DHL
132,"31129 Christine Key Port Jessicabury, MD 36021",6.65,FedEx
133,Unknown Shipping Address,5.81,FedEx
134,"057 Andrew Bridge Suite 300 Graystad, NE 65295",41.25,FedEx
135,"65679 Katherine Lakes Sandraborough, AL 99315",20.31,FedEx
136,"51769 Pearson Neck North Jessicaton, NV 44734",6.08,FedEx
137,"446 Jacobson Highway Apt. 466 Lake Christinamouth, GA 66465",29.41,DHL
138,"65540 Austin Canyon Suite 938 Lake Jeanette, IL 56984",41.71,DHL
139,Unknown Shipping Address,36.82,UPS
140,"85828 Walker Rapid Suite 209 South Elizabeth, ID 12389",15.52,FedEx
141,Unknown Shipping Address,8.76,FedEx
142,"3552 Saunders Skyway Apt. 685 Port Joymouth, HI 08684",17.44,FedEx
143,"34102 Walker Via Port James, DC 75519",47.17,DHL
144,"563 Thomas Shoal Griffinberg, NV 79832",39.38,UPS
145,Unknown Shipping Address,17.71,DHL
146,"124 Cathy Hills Maryside, RI 63045",15.79,FedEx
147,"7358 Daniel Drive Colemanview, PR 89985",32.33,DHL
148,"19746 Leslie Plains Apt. 148 Bobview, ID 62029",45.53,UPS
149,"0254 Donna Green Apt. 607 Michaelmouth, AZ 21808",29.83,FedEx
150,Unknown Shipping Address,18.98,UPS
151,"11407 Ralph Ridges New Christianburgh, WA 46725",15.5,UPS
152,"808 Jay Alley Bethhaven, NJ 31426",10.31,UPS
153,"37080 Jennifer Drive South Kaitlin, SC 61286",7.83,DHL
154,"96206 Crawford Harbors Apt. 929 Lyonsland, ID 09996",34.73,UPS
155,"775 Jackson Terrace Suite 056 West Amber, PR 14334",37.73,DHL
156,"93925 Price Trafficway Apt. 768 North Tracey, WY 72248",18.97,DHL
157,"74283 William Lights Port Nicole, MP 55320",10.19,DHL
158,"8185 Donna Drive Suite 965 Port James, OR 61992",46.26,DHL
159,"60339 White Hill Suite 343 Diamondland, FL 86129",14.99,DHL
160,"8072 Black Falls Hartmanton, WY 09412",34.78,UPS
161,"169 Allen Stream Suite 013 Lewiston, CT 43764",32.05,FedEx
162,USNS Washington FPO AE 16088,42.27,UPS
163,Unknown Shipping Address,38.28,DHL
164,"011 Smith Crest Jeffreyfurt, NY 73734",20.94,FedEx
165,"1668 Amber Manor Audreyside, WI 49950",7.41,DHL
166,"163 Jo Alley Apt. 969 Port Marcusland, MH 98159",18.9,FedEx
167,Unknown Shipping Address,12.97,FedEx
168,"12936 Jason Brooks East Alyssaview, NH 35950",38.77,UPS
169,"6222 Shannon Lights Fischerhaven, AL 31977",36.93,UPS
170,USNS Thomas FPO AA 61751,33.9,UPS
171,"13039 Katherine Road Apt. 202 North James, GA 08200",49.8,DHL
172,"61601 Samantha Harbors Suite 257 North Amber, MO 70048",21.35,FedEx
173,"3647 Nicole Springs Apt. 623 Michelleview, SD 75899",30.34,DHL
174,"1500 Katherine Rapids Lake Brookeport, WA 53792",22.54,FedEx
175,"2496 Robert Falls West Patriciaview, AL 97852",47.4,FedEx
176,"276 Miller Street West Nichole, MI 12663",20.35,FedEx
177,"863 Boyd Circles Brianshire, MO 00599",34.49,DHL
178,"157 Claire Corners North Lesliehaven, MI 98165",24.75,FedEx
179,"83193 Bruce Plains Vaughnville, WI 64299",11.69,UPS
180,"6885 Kevin Island Richardtown, NV 82436",40.25,FedEx
181,"6799 Little Knoll Lake Joshua, OR 97560",16.28,UPS
182,"89795 Robert Squares Caseyport, MI 13407",8.52,DHL
183,Unknown Shipping Address,19.34,UPS
184,"42995 Morales Stream North Adrianville, OK 27929",10.79,FedEx
185,"1001 Angela Pine Suite 377 Lanceview, MP 22068",12.49,FedEx
186,"574 Perez Run West Allisonville, MS 42155",5.74,DHL
187,"3050 Shelby Union North Patrick, RI 67784",42.74,UPS
188,"13198 Bartlett Plains Suite 177 Wilsonland, WA 27636",10.19,UPS
189,Unknown Shipping Address,23.26,UPS
190,"4753 Destiny Locks Suite 782 Myersville, CT 27360",25.85,UPS
191,"9125 Katherine Throughway New Tyler, NE 92684",20.99,DHL
192,"PSC 1043, Box 0640 APO AA 91937",38.65,FedEx
193,"112 Gonzalez Run Dawsonland, ME 42055",16.2,FedEx
194,USNV Hernandez FPO AE 75479,25.31,DHL
195,"604 Fisher Loaf Apt. 428 Averychester, IL 72754",24.81,FedEx
196,"765 Warren Springs New Danny, NJ 16221",15.65,DHL
197,"698 James Canyon Suite 388 Port Alexandramouth, ND 72661",15.79,DHL
198,"6265 Velasquez Knoll Lake Benjamin, TN 02065",39.18,DHL
199,"795 Elizabeth Shore Nicholsshire, KY 10740",6.55,DHL
200,"7440 Dickerson Hollow Suite 679 North Brianside, SC 35425",12.62,FedEx
201,"34427 Heather Light New Wesley, WY 64995",32.86,UPS
202,"85585 Rice Stravenue Suite 801 South Katrinafurt, ID 85040",7.53,UPS
203,USNV Powers FPO AE 47377,5.63,DHL
204,"42430 Warren Shoals Port Heather, AR 22207",48.59,UPS
205,Unit 5476 Box 1542 DPO AE 44360,34.2,UPS
206,"28795 Jacqueline Forges North Nicolefurt, PA 81275",35.46,DHL
207,"28311 James Avenue Jonesside, ID 21841",16.76,UPS
208,"70733 Madden Avenue Suite 263 Lake Victoria, WV 27107",29.45,DHL
209,"571 Heather Fork South Joanna, WY 74134",31.65,DHL
210,"PSC 0538, Box 0962 APO AA 08698",21.67,UPS
211,"8354 Mark Locks Colonview, NE 41724",18.94,UPS
212,"09814 Smith Field Suite 260 Andrewsstad, MT 07526",30.9,DHL
213,"2372 Randall Landing New Matthew, SC 68045",14.5,FedEx
214,USS Rodriguez FPO AP 90856,27.41,FedEx
215,"297 Wells Turnpike Apt. 948 West Gerald, HI 79406",45.25,DHL
216,"643 Lewis Rapid Suite 680 Orozcostad, VI 25916",8.35,UPS
217,"37387 Stokes Bypass Suite 288 East Andreaton, MO 83377",19.79,FedEx
218,USCGC Munoz FPO AA 33909,38.2,UPS
219,Unit 6574 Box 2363 DPO AA 75858,5.97,DHL
220,"5407 Robinson Radial Port Christy, PW 44274",5.62,UPS
221,"4325 Lopez Gateway Port Alexanderside, ND 96851",36.25,FedEx
222,"444 Mary Mountain Apt. 825 South Renee, MH 51434",26.39,FedEx
223,"220 Abbott Drive Apt. 349 Reyesport, MO 63929",32.8,FedEx
224,"94253 Mejia Fall Apt. 579 Millerfort, PA 14168",20.91,FedEx
225,"3093 Warren Alley Suite 165 Ernestton, NM 29504",38.78,DHL
226,Unknown Shipping Address,37.93,FedEx
227,"82446 Wilson Crossroad Port Kristen, ME 68165",28.52,DHL
228,"32497 Joseph Ridge Hamiltonstad, KS 05931",21.8,UPS
229,"52669 Yu River Apt. 852 Nathanielfort, IL 38685",29.34,UPS
230,"4885 Lewis Loop Suite 972 Abbottstad, AS 18646",9.94,UPS
231,"297 Adam Center Suite 915 East Timothyside, NY 12912",17.68,UPS
232,"442 Susan Track Suite 829 North Jeffrey, OH 38664",31.1,UPS
233,Unknown Shipping Address,7.38,DHL
234,"57460 Bernard Trafficway New Carol, OK 43119",39.63,UPS
235,"6754 Williams Mountains Apt. 338 Reedstad, PW 04839",31.79,FedEx
236,"64456 Luna Grove Port Meganland, DC 92667",34.99,DHL
237,"7472 Cameron Fall Franklinborough, MH 57208",40.54,DHL
238,"97489 Samuel Loaf Apt. 793 East Richardfurt, TN 16013",8.34,DHL
239,"213 Brendan Walk Suite 773 Jonesmouth, AK 52360",23.6,DHL
240,USNV Johnston FPO AP 98613,42.61,DHL
241,"299 Mary Island Apt. 233 South Kaylaport, AS 21029",17.51,DHL
242,"116 Tina Hills Suite 915 Port Evelynburgh, LA 10763",13.26,DHL
243,"04502 Rogers Plains East Christopherborough, AR 23554",37.66,FedEx
244,USNS West FPO AA 14675,19.93,DHL
245,"2004 Dan Street New Billy, LA 88558",25.58,DHL
246,USS West FPO AE 62834,14.5,FedEx
247,"250 Timothy Rapids Ruizbury, NH 63863",21.04,FedEx
248,"976 Joshua Island Apt. 302 East Christophermouth, HI 43683",39.47,DHL
249,"240 Shane Dale Suite 470 Allenfort, PW 18407",28.85,DHL
250,"45931 Lloyd Well Suite 728 Port Carlosport, WA 03630",16.27,UPS
251,"63685 Morrison Island South Shelby, AR 33671",48.03,UPS
252,"3439 Brown Crossing Port Matthew, CA 03618",18.4,DHL
253,"377 Singh Court Suite 347 Johnfort, GA 42679",47.76,UPS
254,"59980 Manning Isle Apt. 295 Alanton, HI 85680",39.7,UPS
255,"39196 Elliott Coves Draketon, MD 36095",41.43,UPS
256,"6496 Mcdowell Hills Michellehaven, IN 80136",15.6,UPS
257,"21005 Williams Courts Apt. 358 West Joanne, KS 07408",16.07,DHL
258,"0553 Mckee Ford Apt. 769 West Kellyburgh, OK 67519",45.73,FedEx
259,"03249 Stephanie Gateway Suite 687 South Scottchester, OK 66750",28.59,FedEx
260,"9574 Leah Court Apt. 821 Port Christopher, AZ 23991",13.65,UPS
261,USNV Gonzales FPO AP 29999,9.89,UPS
262,"8009 Charles Rapid Russellburgh, AZ 83623",20.36,DHL
263,"401 Williams Road Suite 119 New John, MH 12636",13.86,UPS
264,"697 Nicholas Courts Heatherton, MS 89028",40.12,UPS
265,"04884 Silva Loop Apt. 211 Port Andrea, DC 99872",20.74,UPS
266,"15429 Herrera Forges Suite 847 South Tyler, KS 03053",14.26,FedEx
267,"99134 Smith Inlet Port Jasonville, DC 03420",15.83,DHL
268,"73101 Miller Spring East Tiffanyview, PW 08784",9.62,DHL
269,"820 Olson Glen Riverafurt, MP 12739",39.31,FedEx
270,"05343 Beck Rue Jessicaland, PR 92312",32.04,DHL
271,"4226 Daniel Circles Joneshaven, GU 95246",12.14,FedEx
272,"255 David Ranch Brownton, WI 48799",14.36,FedEx
273,"02884 Kenneth Plaza Cisnerosborough, FL 04632",31.14,UPS
274,"57039 Olsen Plaza New Michaelfort, UT 72581",35.87,UPS
275,"25765 Lewis Brook Laurenchester, AZ 67078",5.41,UPS
276,Unit 8878 Box 1285 DPO AE 92216,9.23,DHL
277,"92787 Tony Mills North Racheltown, UT 76837",15.81,FedEx
278,"50764 Allison Hill Suite 484 South Jasonville, IA 22181",11.69,FedEx
279,"PSC 6868, Box 3720 APO AA 49584",38.61,DHL
280,Unknown Shipping Address,11.9,UPS
281,Unit 4814 Box 2813 DPO AA 18959,7.53,FedEx
282,"457 Catherine Ranch Lake Stacey, MP 92523",44.13,FedEx
283,"0216 Kelly Garden Lake Jennifer, MN 90509",19.32,UPS
284,"08219 Ellis Green Suite 768 Foxborough, OH 13782",26.29,FedEx
285,"56874 Watkins Fall Traceyberg, NV 84062",30.66,UPS
286,"PSC 6562, Box 8284 APO AE 77708",45.5,FedEx
287,"4443 Tara Lane Suite 393 Rivasside, AK 33722",49.09,DHL
288,"305 Tonya Drive Christopherside, NH 92553",19.8,FedEx
289,"7308 Valerie Corner Coxberg, VI 44560",15.57,DHL
290,"0108 Johnson Turnpike Suite 642 West Tina, ND 89927",38.86,DHL
291,"5523 Long Summit Apt. 058 New Amyside, ID 49510",39.62,FedEx
292,"45049 Peters Isle South Jasmine, IN 66537",20.45,UPS
293,"96644 Christina Walk Apt. 721 Leonardview, OK 19100",44.5,UPS
294,"497 Green Springs New Carlos, FL 58042",10.76,DHL
295,"69704 Lee Hollow Morantown, AK 30437",10.93,UPS
296,"300 Paul Land New Patricialand, MP 56028",15.41,FedEx
297,"5548 Perez Cove Tanyaville, AR 49479",38.58,UPS
298,Unknown Shipping Address,36.54,FedEx
299,"6653 Emily Trace Apt. 711 Matthewstad, NM 25483",42.29,DHL
300,"462 Rice Green Geoffreymouth, CA 33391",46.68,FedEx
301,Unit 0834 Box 8499 DPO AE 49772,31.39,DHL
302,"311 Justin Trafficway Suite 007 Kevinborough, FL 99041",11.19,DHL
303,"158 Klein Plaza Apt. 000 Leeview, CA 18127",48.64,UPS
304,"1735 Renee Drive Apt. 669 South Ashleyland, MN 05118",20.09,UPS
305,"1306 Jeffrey Shore Port Georgeshire, AS 47691",6.08,UPS
306,"01363 Elliott Track Suite 413 North Katrina, VI 17926",8,UPS
307,"37916 Ramirez Glen Suite 636 Thompsonside, OH 68253",42.86,FedEx
308,"3527 Mitchell Isle Candicefurt, NM 61560",21.77,DHL
309,"613 Belinda Meadows Suite 026 Diazview, NV 17271",26.19,FedEx
310,"131 Regina Track Suite 205 New Ashleyland, MI 77204",39.73,UPS
311,"538 Sarah Avenue Apt. 829 Lake Rhondamouth, OH 21869",28.82,UPS
312,"243 Leah Crest Suite 846 Jameston, NJ 28885",36.83,DHL
313,"91549 Matthew Crest Apt. 482 Heidibury, PW 06106",30.42,DHL
314,"38268 Andrews Parkways Apt. 754 Wrightbury, ND 28414",38.5,UPS
315,"119 Kendra Isle Jacquelinefort, OK 39564",8.28,DHL
316,"089 Erin Mountains South Sharonview, NE 44283",14.65,UPS
317,"PSC 1692, Box 7827 APO AP 72687",34.01,FedEx
318,Unit 2350 Box 5749 DPO AA 44690,18.32,UPS
319,"756 Samuel Vista Apt. 630 New Jorge, CT 89035",12.46,DHL
320,"2022 Anthony Plaza Apt. 917 West Kathleenmouth, MI 84167",18.21,UPS
321,"14923 Kaitlyn Bridge Port Matthewside, FL 01361",26.01,UPS
322,"2884 Steven Mountain Suite 836 East Veronicaberg, ID 80003",41.78,DHL
323,"0855 Deborah Crest Angelaberg, OK 27544",12.43,UPS
324,"27204 Brown Inlet Suite 506 North Danny, GU 96660",16.63,DHL
325,Unknown Shipping Address,14.9,DHL
326,"681 Cameron Trafficway Lake Stephanieview, MD 59548",46.21,DHL
327,Unit 6266 Box 7866 DPO AE 75189,31.05,FedEx
328,"947 Brandon Groves Hollytown, ID 79511",31.6,UPS
329,"235 Melanie Rue West Emilyton, UT 37321",30.93,FedEx
330,"7872 Ryan Forest Garciachester, PW 90657",16.32,DHL
331,"4049 Page Hills Port Nicoletown, HI 70495",19.03,FedEx
332,"77101 Lewis Keys Grahamton, CT 16728",31.24,FedEx
333,"17126 Shannon Isle Higginsburgh, AS 39196",16.28,FedEx
334,"48469 Miller Walks North Gregory, VA 10421",49.16,DHL
335,"092 Scott Mountain Suite 563 Wrightburgh, AR 99437",28.14,UPS
336,"15904 Kevin Village Suite 273 South Breannaburgh, OR 95115",36.14,DHL
337,"59402 Jermaine Ferry Singhland, NY 03209",21.44,DHL
338,"88923 Carl Fork Lake Patrick, OH 75610",10.22,DHL
339,"268 Jones Spurs Wattsville, FM 48787",31.66,FedEx
340,"762 Andrew Vista South William, FL 76145",5.97,FedEx
341,"0267 Rivera Stravenue Apt. 490 West Lisaville, NM 53300",40.61,DHL
342,"397 Weber Crossroad Apt. 934 Fitzgeraldfurt, WI 39235",22.65,UPS
343,"40038 Robert Squares Apt. 076 Thompsonborough, DE 79492",23.21,UPS
344,"6260 Gonzalez Plain Port Brittanymouth, NY 20745",31.26,DHL
345,"002 Aguilar Place Apt. 008 Davidside, IN 91750",28.34,DHL
346,"413 Payne Isle Johnview, AS 50523",42.98,DHL
347,"1246 Andrea Hills Lake Dianeshire, MN 74519",24.34,FedEx
348,"29538 Patricia Views Lake Robertchester, IL 11066",42.52,DHL
349,"506 Carroll Ford Apt. 477 Oliviachester, MO 16122",32.26,DHL
350,"1891 Brittany Station Suite 511 Mathewsview, MO 92029",13.08,UPS
351,"564 Matthews Circles Suite 792 Wiseport, NV 14438",37.95,FedEx
352,"766 Hughes Heights Dunntown, OH 63420",28.46,DHL
353,"784 Thompson Glens Danielborough, VT 64513",17.02,UPS
354,USCGC White FPO AA 20520,25.83,UPS
355,"63162 Christopher Bridge Jessicafort, PA 75375",45.31,FedEx
356,"51789 Wells Overpass Apt. 117 New Douglasville, FL 51558",22.94,DHL
357,"77852 William Forges Thomasview, AL 17008",29.21,UPS
358,"192 Adam Ports Saraberg, NH 51040",7.28,DHL
359,"1757 Norman Ramp Calvinview, OH 87232",44.36,DHL
360,"7736 Carroll Alley Suite 642 Lake Rebecca, WI 62954",37,FedEx
361,"3428 Michelle Motorway Suite 170 Hudsontown, WA 03706",18.64,FedEx
362,"1826 Sylvia Estates Apt. 258 Alyssamouth, MA 64490",22.37,DHL
363,"23001 Thompson Courts South David, MD 93763",47.35,FedEx
364,"47793 Chavez Fords Suite 272 Joshuachester, TX 27523",15.41,DHL
365,"907 Moreno Islands Leslieport, FM 31702",47.57,UPS
366,"613 Andrea Circle Collinsmouth, SD 28800",40.21,DHL
367,"8042 Shawn Expressway Apt. 420 Lake Andrestad, NH 89735",31.86,DHL
368,"46730 Melissa Fort Suite 515 Krauseburgh, MA 93330",16.91,DHL
369,"127 Jefferson Drive Suite 530 New Paulbury, UT 82815",34.72,UPS
370,"4456 Barnes Spring Suite 551 Robertbury, DE 28257",9.45,UPS
371,"1713 Jared Ports Suite 806 North Debbie, MS 24355",20.5,DHL
372,"836 Peterson Springs Lake Bonniechester, NM 73967",12.25,DHL
373,"02650 Jennifer Shoal Apt. 911 West Jennifer, AZ 76485",26.55,UPS
374,Unknown Shipping Address,35.93,DHL
375,"229 Munoz Squares Lake Matthewmouth, AR 75185",15.3,FedEx
376,"58614 Melissa Mountains Ortizchester, AR 19729",33.3,FedEx
377,"46518 Knapp Cove Turnerberg, PW 50295",8.42,DHL
378,"1225 Frank Turnpike Gonzalezview, UT 08069",10.44,UPS
379,"62136 Catherine Orchard Williebury, MI 31298",16.17,DHL
380,"PSC 0091, Box 4365 APO AA 33444",43.76,FedEx
381,"51633 Howard Villages Zamorachester, FM 74130",49.38,DHL
382,"106 Hancock Coves Apt. 324 East Troyfort, AR 91299",40.02,UPS
383,"4171 Nelson Prairie Suite 746 New Scottborough, MN 97608",49.41,UPS
384,"028 Rachel Haven Suite 122 New Danielland, MD 22812",27.58,UPS
385,"9753 James Plain Suite 746 East Lindsayton, PA 59489",47.52,DHL
386,"43988 Kenneth Valley Apt. 498 East Victor, WA 78987",24.79,FedEx
387,"89209 Sims Bypass Stevenhaven, KY 06407",32.35,FedEx
388,"645 Shane Bridge Lake Charlene, NC 02216",30.54,UPS
389,"8127 Nicole Brook Suite 747 East Walter, ME 13182",17.21,FedEx
390,"7570 Clayton Mountain Apt. 559 Lake Colleenside, IL 84933",32.07,DHL
391,"167 Bradshaw Stravenue Port Julie, NV 16641",40.48,FedEx
392,"53387 Lisa Center Suite 951 Tiffanymouth, AS 70482",41.49,FedEx
393,"920 Michael Bypass Apt. 520 East Jennifer, WV 94289",28.35,DHL
394,"80497 Katherine Greens North Mariaberg, DC 83448",39.63,UPS
395,"5029 Amy Route Suite 686 North Dennis, HI 85022",10.18,DHL
